state,year,quarter,gennme_c,suppression_used,total_prescriptions
ak,2017,1,Febuxostat,FALSE,73
ak,2017,2,Febuxostat,FALSE,88
ak,2017,3,Febuxostat,FALSE,91
ak,2017,4,Febuxostat,FALSE,80
ak,2018,1,Febuxostat,FALSE,86
ak,2018,2,Febuxostat,FALSE,36
ak,2018,2,Febuxostat,TRUE,0
ak,2018,3,Febuxostat,FALSE,97
ak,2018,4,Febuxostat,FALSE,61
ak,2019,1,Febuxostat,FALSE,60
ak,2019,2,Febuxostat,FALSE,49
ak,2019,3,Febuxostat,TRUE,0
ak,2019,4,Febuxostat,TRUE,0
ak,2020,1,Febuxostat,NA,0
al,2017,1,Febuxostat,FALSE,469
al,2017,2,Febuxostat,FALSE,475
al,2017,3,Febuxostat,FALSE,434
al,2017,4,Febuxostat,FALSE,459
al,2018,1,Febuxostat,FALSE,411
al,2018,2,Febuxostat,FALSE,422
al,2018,3,Febuxostat,FALSE,440
al,2018,4,Febuxostat,FALSE,431
al,2019,1,Febuxostat,FALSE,407
al,2019,2,Febuxostat,FALSE,417
al,2019,3,Febuxostat,FALSE,305
al,2019,3,Febuxostat,TRUE,0
al,2019,4,Febuxostat,FALSE,288
al,2019,4,Febuxostat,TRUE,0
al,2020,1,Febuxostat,NA,314
ar,2017,1,Febuxostat,TRUE,0
ar,2017,2,Febuxostat,TRUE,0
ar,2017,3,Febuxostat,TRUE,0
ar,2017,4,Febuxostat,TRUE,0
ar,2018,1,Febuxostat,TRUE,0
ar,2018,2,Febuxostat,TRUE,0
ar,2018,3,Febuxostat,TRUE,0
ar,2018,4,Febuxostat,TRUE,0
ar,2019,1,Febuxostat,TRUE,0
ar,2019,2,Febuxostat,TRUE,0
ar,2019,3,Febuxostat,TRUE,0
ar,2019,4,Febuxostat,TRUE,0
ar,2020,1,Febuxostat,NA,0
az,2017,1,Febuxostat,FALSE,420
az,2017,1,Febuxostat,TRUE,0
az,2017,2,Febuxostat,FALSE,467
az,2017,2,Febuxostat,TRUE,0
az,2017,3,Febuxostat,FALSE,425
az,2017,3,Febuxostat,TRUE,0
az,2017,4,Febuxostat,FALSE,429
az,2017,4,Febuxostat,TRUE,0
az,2018,1,Febuxostat,FALSE,409
az,2018,1,Febuxostat,TRUE,0
az,2018,2,Febuxostat,FALSE,388
az,2018,2,Febuxostat,TRUE,0
az,2018,3,Febuxostat,FALSE,368
az,2018,3,Febuxostat,TRUE,0
az,2018,4,Febuxostat,FALSE,323
az,2019,1,Febuxostat,FALSE,287
az,2019,2,Febuxostat,FALSE,278
az,2019,2,Febuxostat,TRUE,0
az,2019,3,Febuxostat,FALSE,241
az,2019,3,Febuxostat,TRUE,0
