state,year,quarter,suppression_used,total_prescriptions
ak,2017,1,FALSE,73
ak,2017,2,FALSE,88
ak,2017,3,FALSE,91
ak,2017,4,FALSE,80
ak,2018,1,FALSE,86
ak,2018,2,FALSE,36
ak,2018,2,TRUE,0
ak,2018,3,FALSE,97
ak,2018,4,FALSE,61
ak,2019,1,FALSE,60
ak,2019,2,FALSE,49
ak,2019,3,TRUE,0
ak,2019,4,TRUE,0
ak,2020,1,NA,0
al,2017,1,FALSE,469
al,2017,2,FALSE,475
al,2017,3,FALSE,434
al,2017,4,FALSE,459
al,2018,1,FALSE,411
al,2018,2,FALSE,422
al,2018,3,FALSE,440
al,2018,4,FALSE,431
al,2019,1,FALSE,407
al,2019,2,FALSE,417
al,2019,3,FALSE,305
al,2019,3,TRUE,0
al,2019,4,FALSE,288
al,2019,4,TRUE,0
al,2020,1,NA,314
ar,2017,1,TRUE,0
ar,2017,2,TRUE,0
ar,2017,3,TRUE,0
ar,2017,4,TRUE,0
ar,2018,1,TRUE,0
ar,2018,2,TRUE,0
ar,2018,3,TRUE,0
ar,2018,4,TRUE,0
ar,2019,1,TRUE,0
ar,2019,2,TRUE,0
ar,2019,3,TRUE,0
ar,2019,4,TRUE,0
ar,2020,1,NA,0
az,2017,1,FALSE,420
az,2017,1,TRUE,0
az,2017,2,FALSE,467
az,2017,2,TRUE,0
az,2017,3,FALSE,425
az,2017,3,TRUE,0
az,2017,4,FALSE,429
az,2017,4,TRUE,0
az,2018,1,FALSE,409
az,2018,1,TRUE,0
az,2018,2,FALSE,388
az,2018,2,TRUE,0
az,2018,3,FALSE,368
az,2018,3,TRUE,0
az,2018,4,FALSE,323
az,2019,1,FALSE,287
az,2019,2,FALSE,278
az,2019,2,TRUE,0
az,2019,3,FALSE,241
az,2019,3,TRUE,0
az,2019,4,FALSE,229
az,2019,4,TRUE,0
az,2020,1,NA,158
ca,2017,1,FALSE,2601
ca,2017,2,FALSE,2837
ca,2017,3,FALSE,2826
ca,2017,4,FALSE,2861
ca,2018,1,FALSE,2814
ca,2018,2,FALSE,2742
ca,2018,3,FALSE,2768
ca,2018,4,FALSE,2736
ca,2019,1,FALSE,2607
ca,2019,2,FALSE,2488
ca,2019,3,FALSE,2170
ca,2019,3,TRUE,0
ca,2019,4,FALSE,2120
ca,2019,4,TRUE,0
ca,2020,1,NA,2137
co,2017,1,FALSE,252
co,2017,1,TRUE,0
co,2017,2,FALSE,329
co,2017,2,TRUE,0
co,2017,3,FALSE,345
co,2017,3,TRUE,0
co,2017,4,FALSE,307
co,2017,4,TRUE,0
co,2018,1,FALSE,318
co,2018,1,TRUE,0
co,2018,2,FALSE,360
co,2018,2,TRUE,0
co,2018,3,FALSE,340
co,2018,3,TRUE,0
co,2018,4,FALSE,313
co,2018,4,TRUE,0
co,2019,1,FALSE,143
co,2019,1,TRUE,0
co,2019,2,FALSE,191
co,2019,2,TRUE,0
co,2019,3,FALSE,176
co,2019,3,TRUE,0
co,2019,4,FALSE,102
co,2019,4,TRUE,0
co,2020,1,NA,95
ct,2017,1,FALSE,243
ct,2017,2,FALSE,271
ct,2017,3,FALSE,272
ct,2017,4,FALSE,243
ct,2018,1,FALSE,239
ct,2018,2,FALSE,232
ct,2018,3,FALSE,218
ct,2018,4,FALSE,241
ct,2019,1,FALSE,229
ct,2019,2,FALSE,169
ct,2019,3,FALSE,145
ct,2019,3,TRUE,0
ct,2019,4,FALSE,114
ct,2019,4,TRUE,0
ct,2020,1,NA,121
dc,2017,1,TRUE,0
dc,2017,2,TRUE,0
dc,2017,3,FALSE,17
dc,2017,3,TRUE,0
dc,2017,4,FALSE,19
dc,2017,4,TRUE,0
dc,2018,1,FALSE,16
dc,2018,1,TRUE,0
dc,2018,2,FALSE,13
dc,2018,2,TRUE,0
dc,2018,3,TRUE,0
dc,2018,4,TRUE,0
dc,2019,1,TRUE,0
dc,2019,2,TRUE,0
dc,2019,3,TRUE,0
dc,2019,4,TRUE,0
dc,2020,1,NA,0
de,2017,1,FALSE,20
de,2017,1,TRUE,0
de,2017,2,FALSE,22
de,2017,2,TRUE,0
de,2017,3,FALSE,27
de,2017,3,TRUE,0
de,2017,4,FALSE,26
de,2017,4,TRUE,0
de,2018,1,FALSE,26
de,2018,1,TRUE,0
de,2018,2,FALSE,30
de,2018,2,TRUE,0
de,2018,3,FALSE,32
de,2018,3,TRUE,0
de,2018,4,FALSE,28
de,2018,4,TRUE,0
de,2019,1,FALSE,29
de,2019,1,TRUE,0
de,2019,2,FALSE,27
de,2019,2,TRUE,0
de,2019,3,TRUE,0
de,2019,4,TRUE,0
de,2020,1,NA,0
fl,2017,1,FALSE,197
fl,2017,1,TRUE,0
fl,2017,2,FALSE,241
fl,2017,2,TRUE,0
fl,2017,3,FALSE,221
fl,2017,3,TRUE,0
fl,2017,4,FALSE,211
fl,2017,4,TRUE,0
fl,2018,1,FALSE,204
fl,2018,1,TRUE,0
fl,2018,2,FALSE,197
fl,2018,2,TRUE,0
fl,2018,3,FALSE,212
fl,2018,3,TRUE,0
fl,2018,4,FALSE,231
fl,2018,4,TRUE,0
fl,2019,1,FALSE,223
fl,2019,1,TRUE,0
fl,2019,2,FALSE,222
fl,2019,2,TRUE,0
fl,2019,3,FALSE,173
fl,2019,3,TRUE,0
fl,2019,4,FALSE,158
fl,2019,4,TRUE,0
fl,2020,1,NA,103
ga,2017,1,FALSE,169
ga,2017,1,TRUE,0
ga,2017,2,FALSE,188
ga,2017,2,TRUE,0
ga,2017,3,FALSE,195
ga,2017,3,TRUE,0
ga,2017,4,FALSE,187
ga,2017,4,TRUE,0
ga,2018,1,FALSE,186
ga,2018,1,TRUE,0
ga,2018,2,FALSE,195
ga,2018,2,TRUE,0
ga,2018,3,FALSE,214
ga,2018,3,TRUE,0
ga,2018,4,FALSE,220
ga,2018,4,TRUE,0
ga,2019,1,FALSE,232
ga,2019,1,TRUE,0
ga,2019,2,FALSE,203
ga,2019,2,TRUE,0
ga,2019,3,FALSE,126
ga,2019,3,TRUE,0
ga,2019,4,FALSE,128
ga,2019,4,TRUE,0
ga,2020,1,NA,126
hi,2017,1,FALSE,368
hi,2017,1,TRUE,0
hi,2017,2,FALSE,376
hi,2017,3,FALSE,294
hi,2017,4,FALSE,257
hi,2018,1,FALSE,318
hi,2018,2,FALSE,361
hi,2018,3,FALSE,334
hi,2018,4,FALSE,303
hi,2019,1,FALSE,301
hi,2019,2,FALSE,262
hi,2019,3,FALSE,242
hi,2019,3,TRUE,0
hi,2019,4,FALSE,255
hi,2019,4,TRUE,0
hi,2020,1,NA,191
ia,2017,1,FALSE,13
ia,2017,1,TRUE,0
ia,2017,2,FALSE,18
ia,2017,2,TRUE,0
ia,2017,3,FALSE,24
ia,2017,3,TRUE,0
ia,2017,4,FALSE,26
ia,2017,4,TRUE,0
ia,2018,1,TRUE,0
ia,2018,2,FALSE,22
ia,2018,2,TRUE,0
ia,2018,3,FALSE,26
ia,2018,3,TRUE,0
ia,2018,4,FALSE,25
ia,2018,4,TRUE,0
ia,2019,1,FALSE,33
ia,2019,1,TRUE,0
ia,2019,2,FALSE,31
ia,2019,2,TRUE,0
ia,2019,3,FALSE,32
ia,2019,3,TRUE,0
ia,2019,4,FALSE,12
ia,2019,4,TRUE,0
ia,2020,1,NA,0
id,2017,1,TRUE,0
id,2017,2,FALSE,16
id,2017,2,TRUE,0
id,2017,3,FALSE,16
id,2017,3,TRUE,0
id,2017,4,FALSE,18
id,2017,4,TRUE,0
id,2018,1,FALSE,20
id,2018,1,TRUE,0
id,2018,2,FALSE,13
id,2018,2,TRUE,0
id,2018,3,FALSE,15
